year,country_origin_id,country_destination_id,hs92_product_id,export_val,export_val_pct
1997,YUG,NLD,ALL,37186986.88,0.14%
1997,YUG,NOR,ALL,7800351.22,0.028%
1997,YUG,POL,ALL,23890109.15,0.087%
1997,YUG,PRT,ALL,638626.83,0.0023%
1997,YUG,ROU,ALL,55741406.47,0.20%
1997,YUG,RUS,ALL,195078574.78,0.71%
1997,YUG,SVK,ALL,17570571.86,0.064%
1997,YUG,SVN,ALL,43386840.27,0.16%
1997,YUG,SWE,ALL,5175660.23,0.019%
1997,YUG,UKR,ALL,29078030.04,0.11%
1997,YUG,BHS,ALL,17775.76,0.000065%
1997,YUG,BRB,ALL,1000,0.0000036%
1997,YUG,CAN,ALL,7905537.61,0.029%
1997,YUG,CRI,ALL,396040.28,0.0014%
1997,YUG,CUB,ALL,24000,0.000087%
1997,YUG,CYM,ALL,5000,0.000018%
1997,YUG,GRD,ALL,4991.65,0.000018%
1997,YUG,HND,ALL,34000,0.00012%
1997,YUG,JAM,ALL,80191,0.00029%
1997,YUG,LCA,ALL,2475,0.0000090%
1997,YUG,MEX,ALL,5475608.09,0.020%
1997,YUG,NIC,ALL,52376,0.00019%
1997,YUG,PAN,ALL,122000,0.00044%
1997,YUG,SLV,ALL,45420,0.00017%
1997,YUG,TTO,ALL,22153.2,0.000081%
1997,YUG,UMI,ALL,8000,0.000029%
1997,YUG,USA,ALL,16167549.58,0.059%
1997,YUG,VGB,ALL,628000,0.0023%
1997,YUG,AUS,ALL,1242000,0.0045%
1997,YUG,KIR,ALL,140000,0.00051%
1997,YUG,MHL,ALL,169000,0.00062%
1997,YUG,NCL,ALL,32000,0.00012%
1997,YUG,NIU,ALL,1128000,0.0041%
1997,YUG,NZL,ALL,143771.51,0.00052%
1997,YUG,PYF,ALL,17415.34,0.000063%
1997,YUG,TKL,ALL,20000,0.000073%
1997,YUG,ARG,ALL,3225597.18,0.012%
1997,YUG,BOL,ALL,37100.9,0.00014%
1997,YUG,BRA,ALL,5132000,0.019%
1997,YUG,CHL,ALL,240527.34,0.00088%
1997,YUG,COL,ALL,23403.2,0.000085%
1997,YUG,ECU,ALL,531413.55,0.0019%
1997,YUG,PER,ALL,728409.28,0.0027%
1997,YUG,URY,ALL,624721.61,0.0023%
1997,YUG,VEN,ALL,271072.94,0.00099%
1998,YUG,AGO,ALL,2000,0.0000073%
1998,YUG,BFA,ALL,26276.13,0.000096%
1998,YUG,CIV,ALL,1414533.19,0.0051%
1998,YUG,CMR,ALL,134154.67,0.00049%
1998,YUG,COG,ALL,69000,0.00025%
1998,YUG,COM,ALL,2000,0.0000073%
1998,YUG,CPV,ALL,9000,0.000033%
1998,YUG,DZA,ALL,9019517.02,0.033%
1998,YUG,EGY,ALL,26086474.65,0.095%
1998,YUG,ETH,ALL,1936933.25,0.0071%
1998,YUG,GAB,ALL,53000,0.00019%
1998,YUG,GHA,ALL,371325.98,0.0014%
1998,YUG,GIN,ALL,161921.71,0.00059%
1998,YUG,KEN,ALL,5567,0.000020%
1998,YUG,LBR,ALL,954000,0.0035%
1998,YUG,LBY,ALL,540000,0.0020%
1998,YUG,MAR,ALL,516000,0.0019%
1998,YUG,MDG,ALL,1107,0.0000040%
1998,YUG,MLI,ALL,95352.95,0.00035%
1998,YUG,MUS,ALL,29335.93,0.00011%
1998,YUG,NER,ALL,7000,0.000025%
1998,YUG,NGA,ALL,1250845.52,0.0046%
1998,YUG,RWA,ALL,93403.81,0.00034%
1998,YUG,SDN,ALL,222922.4,0.00081%
1998,YUG,SEN,ALL,450592.95,0.0016%
1998,YUG,STP,ALL,2000,0.0000073%
1998,YUG,SYC,ALL,65434.65,0.00024%
1998,YUG,TGO,ALL,555151,0.0020%
1998,YUG,TUN,ALL,8665896.52,0.032%
1998,YUG,TZA,ALL,43504.8,0.00016%
1998,YUG,UGA,ALL,31863,0.00012%
1998,YUG,ZAF,ALL,6154940.16,0.022%
1998,YUG,ZWE,ALL,14000,0.000051%
1998,YUG,ARE,ALL,8802000,0.032%
1998,YUG,ARM,ALL,400000,0.0015%
1998,YUG,AZE,ALL,1492205.47,0.0054%
1998,YUG,BGD,ALL,3264,0.000012%
1998,YUG,BHR,ALL,16000,0.000058%
1998,YUG,CHN,ALL,10173860.53,0.037%
1998,YUG,CYP,ALL,32122581.08,0.12%
1998,YUG,GEO,ALL,1388640.97,0.0051%
1998,YUG,HKG,ALL,2667446.82,0.0097%
1998,YUG,IDN,ALL,1889878.99,0.0069%
1998,YUG,IND,ALL,1862808.51,0.0068%
1998,YUG,IRN,ALL,21136588.83,0.077%
1998,YUG,IRQ,ALL,325000,0.0012%
1998,YUG,ISR,ALL,7715540.56,0.028%
1998,YUG,JOR,ALL,1606111.51,0.0058%
1998,YUG,JPN,ALL,5636755.7,0.021%
1998,YUG,KAZ,ALL,1024000,0.0037%
1998,YUG,KGZ,ALL,103000,0.00037%
1998,YUG,KOR,ALL,3870358.03,0.014%
1998,YUG,KWT,ALL,48000,0.00017%
1998,YUG,LAO,ALL,15000,0.000055%
1998,YUG,LBN,ALL,3580455,0.013%
1998,YUG,LKA,ALL,107000,0.00039%
1998,YUG,MAC,ALL,20000,0.000073%
1998,YUG,MMR,ALL,5130000,0.019%
1998,YUG,MNG,ALL,134574.2,0.00049%
1998,YUG,MYS,ALL,704828.72,0.0026%
1998,YUG,OMN,ALL,36092.94,0.00013%
1998,YUG,PAK,ALL,296000,0.0011%
1998,YUG,PRK,ALL,22000,0.000080%
1998,YUG,QAT,ALL,29000,0.00011%
1998,YUG,SAU,ALL,327000,0.0012%
1998,YUG,SGP,ALL,1000,0.0000036%
1998,YUG,SYR,ALL,2333000,0.0085%
