year,country_origin_id,country_destination_id,hs92_product_id,import_val,import_val_pct
1998,YUG,BIH,ALL,149551628.47,0.25%
1998,YUG,BLR,ALL,8498677.38,0.014%
1998,YUG,BLX,ALL,66584578.14,0.11%
1998,YUG,CHE,ALL,97501680.13,0.16%
1998,YUG,CZE,ALL,119221270.67,0.20%
1998,YUG,DEU,ALL,655020312.6,1.1%
1998,YUG,DNK,ALL,49115356.87,0.082%
1998,YUG,ESP,ALL,30675995.82,0.051%
1998,YUG,EST,ALL,306605.66,0.00051%
1998,YUG,FIN,ALL,10625648.85,0.018%
1998,YUG,FRA,ALL,180938689.79,0.30%
1998,YUG,GBR,ALL,116434933.47,0.20%
1998,YUG,GIB,ALL,1732.98,0.0000029%
1998,YUG,GRC,ALL,244585418.74,0.41%
1998,YUG,HRV,ALL,19545072.5,0.033%
1998,YUG,HUN,ALL,136550095.21,0.23%
1998,YUG,IRL,ALL,16021612.08,0.027%
1998,YUG,ISL,ALL,374860.62,0.00063%
1998,YUG,ITA,ALL,570981312.88,0.96%
1998,YUG,LTU,ALL,1404299.89,0.0024%
1998,YUG,LVA,ALL,600243,0.0010%
1998,YUG,MDA,ALL,163545.24,0.00027%
1998,YUG,MKD,ALL,253470342.88,0.42%
1998,YUG,MLT,ALL,722422.54,0.0012%
1998,YUG,NLD,ALL,102204734.69,0.17%
1998,YUG,NOR,ALL,13702745.16,0.023%
1998,YUG,POL,ALL,45640890.29,0.077%
1998,YUG,PRT,ALL,1374523.34,0.0023%
1998,YUG,ROU,ALL,103557224.39,0.17%
1998,YUG,RUS,ALL,474022039.8,0.79%
1998,YUG,SVK,ALL,61323026.39,0.10%
1998,YUG,SVN,ALL,103046255.84,0.17%
1998,YUG,SWE,ALL,85938511.85,0.14%
1998,YUG,UKR,ALL,64015576.62,0.11%
1998,YUG,ANT,ALL,149009.05,0.00025%
1998,YUG,ATG,ALL,4820.24,0.0000081%
1998,YUG,BHS,ALL,6337732.55,0.011%
1998,YUG,BLZ,ALL,27907.84,0.000047%
1998,YUG,BMU,ALL,13788,0.000023%
