,PERIOD,PARTNER,REPORTER,PRODUCT,FLOW,INDICATORS,Value,Per
504,Jan.-Dec. 2001,GERMANY (incl DD from 1991),CZECH REPUBLIC (CS->1992),TOTAL,EXPORT,VALUE_IN_EUROS,"14,206,818,361",0.381817225
533,Jan.-Dec. 2001,EU28_EXTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,"17,534,236,417",0.376255633
562,Jan.-Dec. 2001,EU28_INTRA,DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,"40,197,853,811",1.266430939
591,Jan.-Dec. 2001,GERMANY (incl DD from 1991),DENMARK,TOTAL,EXPORT,VALUE_IN_EUROS,"11,530,686,241",0.199727503
620,Jan.-Dec. 2001,EU28_EXTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,"689,823,383",0.01333545
649,Jan.-Dec. 2001,EU28_INTRA,ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,"3,006,299,358",0.246004418
678,Jan.-Dec. 2001,GERMANY (incl DD from 1991),ESTONIA,TOTAL,EXPORT,VALUE_IN_EUROS,"256,321,438",0.069348735
707,Jan.-Dec. 2001,EU28_EXTRA,FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"19,018,153,146",5.829103146
736,Jan.-Dec. 2001,EU28_INTRA,FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"29,259,021,225",1.518019134
765,Jan.-Dec. 2001,GERMANY (incl DD from 1991),FINLAND,TOTAL,EXPORT,VALUE_IN_EUROS,"5,958,300,848",0.123418591
794,Jan.-Dec. 2001,EU28_EXTRA,FRANCE,TOTAL,EXPORT,VALUE_IN_EUROS,"128,862,095,184",3.65905434
823,Jan.-Dec. 2001,EU28_INTRA,FRANCE,TOTAL,EXPORT,VALUE_IN_EUROS,"232,213,262,166",1.722389705
852,Jan.-Dec. 2001,GERMANY (incl DD from 1991),FRANCE,TOTAL,EXPORT,VALUE_IN_EUROS,"53,707,580,646",0.148743412
881,Jan.-Dec. 2001,EU28_EXTRA,GREECE,TOTAL,EXPORT,VALUE_IN_EUROS,"4,580,147,230",0.016018934
910,Jan.-Dec. 2001,EU28_INTRA,GREECE,TOTAL,EXPORT,VALUE_IN_EUROS,"8,095,016,334",0.138880286
939,Jan.-Dec. 2001,GERMANY (incl DD from 1991),GREECE,TOTAL,EXPORT,VALUE_IN_EUROS,"1,659,976,468",0.130962923
174,Jan.-Dec. 2019,GERMANY (incl DD from 1991),BELGIUM (and LUXBG -> 1998),TOTAL,EXPORT,VALUE_IN_EUROS,NA,
175,Jan.-Dec. 1991,EU28_EXTRA,BULGARIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
176,Jan.-Dec. 1992,EU28_EXTRA,BULGARIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
177,Jan.-Dec. 1993,EU28_EXTRA,BULGARIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
178,Jan.-Dec. 1994,EU28_EXTRA,BULGARIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
179,Jan.-Dec. 1995,EU28_EXTRA,BULGARIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
180,Jan.-Dec. 1996,EU28_EXTRA,BULGARIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
181,Jan.-Dec. 1997,EU28_EXTRA,BULGARIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
182,Jan.-Dec. 1998,EU28_EXTRA,BULGARIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
183,Jan.-Dec. 1999,EU28_EXTRA,BULGARIA,TOTAL,EXPORT,VALUE_IN_EUROS,NA,
968,Jan.-Dec. 2001,EU28_EXTRA,HUNGARY,TOTAL,EXPORT,VALUE_IN_EUROS,"5,267,178,312",#VALUE!
997,Jan.-Dec. 2001,EU28_INTRA,HUNGARY,TOTAL,EXPORT,VALUE_IN_EUROS,"28,716,228,113",#VALUE!
1026,Jan.-Dec. 2001,GERMANY (incl DD from 1991),HUNGARY,TOTAL,EXPORT,VALUE_IN_EUROS,"12,097,622,134",0.355986153
1055,Jan.-Dec. 2001,EU28_EXTRA,IRELAND,TOTAL,EXPORT,VALUE_IN_EUROS,"33,091,166,587",0.810782771
1084,Jan.-Dec. 2001,EU28_INTRA,IRELAND,TOTAL,EXPORT,VALUE_IN_EUROS,"59,399,944,176",1.314484098
1113,Jan.-Dec. 2001,GERMANY (incl DD from 1991),IRELAND,TOTAL,EXPORT,VALUE_IN_EUROS,"11,670,602,865",0.126180806
1142,Jan.-Dec. 2001,EU28_EXTRA,ITALY,TOTAL,EXPORT,VALUE_IN_EUROS,"104,652,613,860",1.472517354
