"","PERIOD","PARTNER","REPORTER","PRODUCT","FLOW","INDICATORS","Value"
"160","Jan.-Dec. 2005","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","51,992,370,310"
"161","Jan.-Dec. 2006","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","57,333,663,583"
"162","Jan.-Dec. 2007","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","61,251,674,462"
"163","Jan.-Dec. 2008","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","63,369,981,379"
"164","Jan.-Dec. 2009","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","51,351,709,409"
"165","Jan.-Dec. 2010","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","57,071,891,734"
"166","Jan.-Dec. 2011","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","61,904,360,451"
"167","Jan.-Dec. 2012","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","60,542,208,690"
"168","Jan.-Dec. 2013","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","59,699,131,143"
"169","Jan.-Dec. 2014","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","59,269,302,822"
"170","Jan.-Dec. 2015","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","59,796,138,066"
"171","Jan.-Dec. 2016","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","59,630,404,565"
"172","Jan.-Dec. 2017","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","63,748,071,135"
"173","Jan.-Dec. 2018","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS","70,101,012,574"
"174","Jan.-Dec. 2019","GERMANY (incl DD from 1991)","BELGIUM (and LUXBG -> 1998)","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"175","Jan.-Dec. 1991","EU28_EXTRA","BULGARIA","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"176","Jan.-Dec. 1992","EU28_EXTRA","BULGARIA","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"177","Jan.-Dec. 1993","EU28_EXTRA","BULGARIA","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"178","Jan.-Dec. 1994","EU28_EXTRA","BULGARIA","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"179","Jan.-Dec. 1995","EU28_EXTRA","BULGARIA","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"180","Jan.-Dec. 1996","EU28_EXTRA","BULGARIA","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"181","Jan.-Dec. 1997","EU28_EXTRA","BULGARIA","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"182","Jan.-Dec. 1998","EU28_EXTRA","BULGARIA","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"183","Jan.-Dec. 1999","EU28_EXTRA","BULGARIA","TOTAL","EXPORT","VALUE_IN_EUROS",NA
"184","Jan.-Dec. 2000","EU28_EXTRA","BULGARIA","TOTAL","EXPORT","VALUE_IN_EUROS","2,297,053,844"
"185","Jan.-Dec. 2001","EU28_EXTRA","BULGARIA","TOTAL","EXPORT","VALUE_IN_EUROS","2,240,472,678"
"186","Jan.-Dec. 2002","EU28_EXTRA","BULGARIA","TOTAL","EXPORT","VALUE_IN_EUROS","2,283,997,396"
"187","Jan.-Dec. 2003","EU28_EXTRA","BULGARIA","TOTAL","EXPORT","VALUE_IN_EUROS","2,416,799,076"
"188","Jan.-Dec. 2004","EU28_EXTRA","BULGARIA","TOTAL","EXPORT","VALUE_IN_EUROS","2,981,962,272"
